"","match_id","start_time","duration","radiant_win","radiant_hero_id","dire_hero_id"
"30883",32116,2015-11-15 23:35:16,1793,"False","71,26,14,21,12","42,64,32,74,107"
"30884",32117,2015-11-15 23:35:18,2588,"False","73,87,85,52,72","25,112,8,27,14"
"30885",32118,2015-11-15 23:35:27,2544,"True","69,5,106,103,9","91,7,19,78,73"
"30886",32119,2015-11-15 23:35:49,1503,"True","74,100,94,50,30","99,26,78,21,44"
"30887",32120,2015-11-15 23:36:12,2230,"True","64,102,8,11,32","26,40,45,18,7"
"30888",32121,2015-11-15 23:36:14,2520,"False","6,5,11,32,62","100,4,44,104,41"
"30889",32122,2015-11-15 23:36:13,2786,"True","26,72,19,35,86","1,88,7,59,50"
"30890",32123,2015-11-15 23:36:21,1652,"False","44,73,86,59,4","51,106,75,46,14"
"30891",32125,2015-11-15 23:36:52,3159,"True","1,85,107,57,21","5,27,98,67,97"
"30892",32127,2015-11-15 23:37:21,2047,"False","17,44,28,86,70","7,49,61,1,53"
"30893",32128,2015-11-15 23:37:20,3445,"False","5,93,33,99,21","26,4,51,11,7"
"30894",32129,2015-11-15 23:37:06,3235,"False","12,100,25,28,40","50,42,7,90,1"
"30895",32130,2015-11-15 23:37:21,1639,"True","39,21,88,28,19","55,68,6,102,11"
"30896",32131,2015-11-15 23:37:35,2060,"True","71,41,36,6,74","104,39,98,32,8"
"30897",32132,2015-11-15 23:37:38,2521,"False","14,7,104,27,74","46,44,8,45,86"
"30898",32133,2015-11-15 23:37:52,2664,"False","80,41,33,9,62","36,110,50,67,28"
"30899",32134,2015-11-15 23:38:25,2813,"True","28,11,32,21,20","42,39,62,14,26"
"30900",32135,2015-11-15 23:38:28,2843,"False","11,28,68,8,31","60,38,112,73,106"
"30901",32136,2015-11-15 23:38:36,2111,"True","56,7,11,76,5","14,50,21,22,93"
"30902",32137,2015-11-15 23:38:40,2474,"False","28,73,98,30,3","68,87,97,42,21"
"30903",32138,2015-11-15 23:38:39,3016,"True","12,84,52,7,25","50,44,53,21,48"
"30904",32139,2015-11-15 23:38:43,2216,"True","59,62,50,15,42","47,20,21,32,18"
"30905",32140,2015-11-15 23:38:50,2838,"False","11,50,35,25,15","59,20,74,21,87"
"30906",32141,2015-11-15 23:39:23,2537,"False","9,21,74,109,11","101,8,106,100,7"
"30907",32142,2015-11-15 23:39:27,2209,"False","109,60,63,82,9","22,32,52,100,31"
"30908",32143,2015-11-15 23:39:25,2338,"False","8,86,47,71,4","104,22,64,93,88"
"30909",32144,2015-11-15 23:39:27,3306,"True","14,57,71,39,20","91,69,17,23,86"
"30910",32145,2015-11-15 23:40:00,1881,"False","5,97,28,68,55","7,51,74,53,72"
"30911",32146,2015-11-15 23:40:13,2044,"False","88,87,8,84,13","7,75,21,11,93"
"30912",32147,2015-11-15 23:40:13,2603,"True","51,8,107,79,46","93,59,28,62,30"
"30913",32148,2015-11-15 23:39:52,2321,"True","69,86,106,11,68","64,78,89,21,3"
